CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada
5088;1150;VIA ALBERTO MARIO;16;Savena;VIA ALBERTO MARIO;VIA ALBERTO MARIO;5608;5600;1991-10-21;697.0;72;;82;2;;;;;44.46202644447266, 11.384451357060946;"{""coordinates"": [[11.38248969198932, 44.459281263141364], [11.382538682185759, 44.45931876289701], [11.38256639400456, 44.459369301420125], [11.382603805910845, 44.45953342166207], [11.382630238405511, 44.4596970868525], [11.382650817746075, 44.45981019842507], [11.382691796904282, 44.460044050523635], [11.382743494491896, 44.46015578333526], [11.38285254459042, 44.460302590527995], [11.382980096274999, 44.460474047687725], [11.383234538153301, 44.460751859396694], [11.383387834382953, 44.460924201018344], [11.383661065038092, 44.46120089025279], [11.383864930649708, 44.46140740252245], [11.385136496424495, 44.462775932632574], [11.38602585245111, 44.463679386182406], [11.386102530756485, 44.463791855621665], [11.386187010648262, 44.463987778255856], [11.386318188895263, 44.46441923242192], [11.386478297930545, 44.464760388502135]], ""type"": ""LineString""}";758734
5096;54950;VIALE ANTONIO SILVANI;13;Porto - Saragozza;VIA INNOCENZO MALVASIA;PIAZZA VII NOVEMBRE 1944;10158;16697;1991-10-21;190.0;10;;20;F;;;;;44.501824633455, 11.331608630494145;"{""coordinates"": [[11.33259083066823, 44.50231418972027], [11.330626430320061, 44.50133507718974]], ""type"": ""LineString""}";758853
3610;6300;VIA GIUSEPPE GIOACCHINO BELLI;12;Navile;VIA GIUSEPPE GIUSTI;VIA CARLO PORTA;15085;15084;1992-01-10;120.0;2;;4;A;1;;1;B;44.53047173283841, 11.351294071140856;"{""coordinates"": [[11.351135914206864, 44.5299423600155], [11.351452228074846, 44.53100110566131]], ""type"": ""LineString""}";759777
5152;30520;CORTE ISOLANI;15;Santo Stefano;STRADA MAGGIORE;VIA SANTO STEFANO;6107;13154;1994-05-24;118.0;2;;8;C;1;;7;E;44.49282992184533, 11.348463616400972;"{""coordinates"": [[11.348072518556503, 44.49238566210469], [11.348217678942607, 44.49250583153146], [11.348465399676762, 44.49283348906729], [11.348834851550585, 44.49329437333914]], ""type"": ""LineString""}";759841
5163;40300;VIA WOLFGANG AMADEUS MOZART;11;Borgo Panigale - Reno;VIA FRYDERYK CHOPIN;VIA MICHELANGELO BUONARROTI;15748;15749;1994-06-07;74.0;4;;4;;;;;;44.49635242749919, 11.283049962955445;"{""coordinates"": [[11.283502696221664, 44.496272383262635], [11.282597229689227, 44.49643247173575]], ""type"": ""LineString""}";760454
5185;38300;VIA MICHELINO;14;San Donato - San Vitale;VIA MICHELINO;VIA MICHELINO;13179;13182;1994-06-16;204.0;;;;;73;;93;2P;44.51458778929802, 11.37337453160444;"{""coordinates"": [[11.372323881935557, 44.51407686870424], [11.372404327111745, 44.514175359266865], [11.372471302475724, 44.514255998577624], [11.372545518975558, 44.51430611272616], [11.37420365036537, 44.514888213559644], [11.374499313433438, 44.51498573714323]], ""type"": ""LineString""}";760017
3718;14130;VIA TOMMASO CASINI;14;San Donato - San Vitale;VIA ADA NEGRI;VIA ITALO SVEVO;10865;10901;1991-10-21;130.0;;;;;5;;5;;44.51107864837841, 11.39539038139404;"{""coordinates"": [[11.39461612754767, 44.511262845281756], [11.395111962463146, 44.51114427695578], [11.39592293112638, 44.51095243755114], [11.396164899917318, 44.51089556683712]], ""type"": ""LineString""}";760367
3719;30850;VIA LARGA;14;San Donato - San Vitale;VIA LINO SIGHINOLFI;VIA GIOVAN BATTISTA MARTINETTI;13844;10831;1991-10-21;99.0;;;;;;;;;44.512230036050966, 11.40285727995114;"{""coordinates"": [[11.402597759282687, 44.51182378653067], [11.403050342954655, 44.51253268155741], [11.403118312802366, 44.51263530216407]], ""type"": ""LineString""}";759859
3720;24480;VIA LODOVICO FRATI;14;San Donato - San Vitale;VIA ALFREDO PANZINI;VIA TOMMASO CASINI;15479;10895;1991-10-21;213.0;2;;10;;1;;17;;44.510744866367396, 11.398506838657458;"{""coordinates"": [[11.397200938007158, 44.51068135758877], [11.397249820546646, 44.51071583710542], [11.39731105610419, 44.51073616622532], [11.397702743111461, 44.51079812349051], [11.397835829604785, 44.51080986707559], [11.398323510306168, 44.51079759621253], [11.398588915644854, 44.51078673515012], [11.398694530858926, 44.510778997278095], [11.398796930355367, 44.5107640258116], [11.39905912781548, 44.51071363782306], [11.399375275467483, 44.51066853405834], [11.399665374015052, 44.510643206487586], [11.39982616888177, 44.51064618193429]], ""type"": ""LineString""}";759893
5457;45190;VIALE SANDRO PERTINI;11;Borgo Panigale - Reno;VIALE SANDRO PERTINI;VIALE SANDRO PERTINI;13367;13369;1996-02-13;739.0;;;;;;;;;44.491611719820455, 11.28847067388959;"{""coordinates"": [[11.292775632837499, 44.49285961125186], [11.292010009839574, 44.492604565945975], [11.28968104547401, 44.49195344852879], [11.287388214209702, 44.49130516948199], [11.285123804975465, 44.490670031269], [11.284159655510111, 44.49038271648945]], ""type"": ""LineString""}";760284
