Data;Area provenienza;Area Arrivo;Numero di visitatori
2019-08-10;Porta San Donato;Palazzo Poggi;0
2019-08-10;Piazza Rossini (Palazzo Malvezzi);Via San Giacomo;2918
2019-08-11;Porta San Donato;Piazza Rossini (Palazzo Malvezzi);133
2019-08-11;Palazzo Poggi;Piazza Scaravilli;0
2019-08-11;Facoltà Di Giurisprudenza;Piazza Rossini (Palazzo Malvezzi);11937
2019-08-11;Facoltà Di Giurisprudenza;2 Torri (Inizio Portico Via Zamboni);7353
2019-08-11;Piazza Rossini (Palazzo Malvezzi);Porta San Donato;185
2019-08-11;Piazza Rossini (Palazzo Malvezzi);Facoltà Di Giurisprudenza;9003
2019-08-12;Piazza Puntoni (Via Zamboni);Piazza Scaravilli;506
2019-08-12;Piazza Puntoni (Via Zamboni);Piazza Verdi;163
2019-08-12;Piazza Scaravilli;Porta San Donato;95
2019-08-12;Via Del Guasto;Via San Giacomo;258
2019-08-12;Via Del Guasto;Facoltà Di Giurisprudenza;351
2019-08-12;2 Torri (Inizio Portico Via Zamboni);Piazza Scaravilli;27
2019-08-13;Porta San Donato;Piazza Scaravilli;51
2019-08-13;Piazza Scaravilli;Via San Giacomo;14700
2019-08-13;2 Torri (Inizio Portico Via Zamboni);Piazza Verdi;918
2019-08-14;Porta San Donato;Facoltà Di Giurisprudenza;101
2019-08-14;Piazza Puntoni (Via Zamboni);Via Del Guasto;45
2019-08-14;Via San Giacomo;Porta San Donato;259
2019-08-14;Piazza Verdi;Via Del Guasto;2815
2019-08-14;Facoltà Di Giurisprudenza;Via San Giacomo;1405
2019-08-15;Palazzo Poggi;Facoltà Di Giurisprudenza;0
2019-08-18;Via Del Guasto;Piazza Verdi;3687
2019-08-18;Piazza Verdi;Palazzo Poggi;0
2019-08-19;Piazza Puntoni (Via Zamboni);Palazzo Poggi;0
2019-08-19;Piazza Puntoni (Via Zamboni);Facoltà Di Giurisprudenza;168
2019-08-19;Via San Giacomo;Facoltà Di Giurisprudenza;2003
2019-08-19;Palazzo Poggi;Via Del Guasto;0
2019-08-20;Piazza Scaravilli;Facoltà Di Giurisprudenza;140
2019-08-20;Facoltà Di Giurisprudenza;Piazza Verdi;2795
2019-07-05;Facoltà Di Giurisprudenza;Piazza Puntoni (Via Zamboni);205
2019-07-06;Piazza Puntoni (Via Zamboni);Via Del Guasto;0
2019-07-06;Palazzo Poggi;Facoltà Di Giurisprudenza;6
2019-07-06;Facoltà Di Giurisprudenza;Palazzo Poggi;9
2019-07-07;Via Del Guasto;Piazza Verdi;0
2019-07-07;Facoltà Di Giurisprudenza;Via San Giacomo;2675
