Nome;indirizzo;latitudine;longitudine;id_scheda;descrizione breve;descrizione estesa;macro zona;zona;sotto categoria;civico;cap;città;provincia;note;accessibilità;telefono;email;sito;orari generici;orario Lunedì;orario Martedì;orario Mercoledì;orario Giovedì;orario Venerdì;orario Sabato;orario Domenica;geopoint
Museo Archeologico L. Fantini di Monterenzio e parco di Monte Bibele;Via del Museo, 2;44.32742689999999;11.4041014;26;;Il Museo archeologico di Monterenzio, l'unico in Italia interamente allestito e curato dagli archeologi che ne hanno scoperto i reperti, permette di vivere un viaggio nel passato, 2.400 anni fa, alla scoperta di guerrieri Celti ed Etruschi. Racconta la loro storia attraverso oggetti, sepolture e armi rivenute nella Valle dell'Idice, Mostra strumenti rarissimi, come il quadrante solare per l'antico rito di fondazione delle città, affiancati da un percorso tattile con riproduzioni fedeli da sperimentare e da una capanna ricostruita da visitare.Un'esperienza immersiva e complementare alla visita al museo è data dal percorso nell'area archeologica di Monte Bibele, raggiungibile in auto e dopo una breve passeggiata nel bosco, tra flore protette e paesaggi incontaminati. Giunti sul crinale, si entra nel villaggio antico, un avamposto militare arroccato, tra le case ricostruite e i luoghi sacri le cui energie permangono vibranti nell'aria.L'offerta del Parco in Rete, del tutto rinnovata nel 2015 con restauri e riallestimenti, si completa con tour ed eventi su prenotazione: visite guidate con gli archeologi dell'associazione Arc.A Monte Bibele, gestore di Museo e Parco, e promotore di tante iniziative parallele, tutte pensate per rendere viva e interattiva la storia del territorio (laboratori, esperienze sensoriali e di living history, conferenze, cene storiche, mostre e performance d'arte contemporanea).;Appennino;;Siti archeologici;;40050;Monterenzio;BO;< 30 km;Il museo è accessibile in carrozzinaPercorso di visita per non vedentiNon  è presente una guida per non udenti, ma è disponibile materiale visivo e didascalico dedicato a ciascuna sala del percorso di visita, che descrive nel dettaglio ciò che si sta vedendoIl museo si trova all'interno del parco del Museo che dispone di ampio parcheggio, condiviso con i residenti. Sebbene non sia indicato a terra espressamente, si può parcheggiare comodamente vicinissimo all'ingresso.Il Centro Servizi e il Centro Visite all'interno del parco archeologico dispongono di un ampio parcheggio antistante l'ingresso. Il parcheggio non è asfaltato, ma presenta una copertura di stabilizzato.Servizio igienico adattato;3291949532  - 051 929766;info@montebibele.eu;https://www.montebibele.eu;Controlla qui le aperture straordinarie.;;Solo su appuntamento;9.00 - 13.00;9.00 - 13.00;Solo su appuntamento;10.00 - 18.00;10.00 - 18.00;44.32742689999999, 11.4041014
Terme di Porretta;Via Roma;44.1508565;10.9817504;31;;"Le Terme di Porretta sorgono nel cuore dell'Appennino bolognese e sono conosciute fin dai tempi degli antichi romani per la qualità delle acque sulfuree e salsobromoiodiche che scaturiscono da ben 14 sorgenti.
La complessità e il valore del patrimonio idrominerale dello stabilimento rendono le terme un luogo unico, in grado di offrire al visitatore un ventaglio di trattamenti e cure termali molto ampio. Le terme dispongono di un'area wellness con la piscina termale, la sauna, uno spazio relax e il percorso vascolare con il pavimento costruito con i ciottoli di fiume che assicura un massaggio rigenerante alla pianta dei piedi.";Appennino;;Terme e benessere;5;40046;Porretta Terme;BO;< 70 km;;+39053422062;info@termediporretta.it;https://www.termediporretta.it;Apertura dello stabilimernto: dal lunedì al venerdì dalle 8.30 alle 12.30 e dalle 14.30 alle 18 – Sabato dalle 8.30 alle 12.30. Apertura della piscina termale: dal lunedì al venerdì dalle 8.30 alle 13 e dalle 14.30 alle 19.00 – Sabato dalle 08.30 alle 13.;;;;;;;;44.1508565, 10.9817504
Faro di Gaggio Montano;40041 Gaggio Montano, Metropolitan City of Bologna, Italy;44.19840516699963;10.932705402374268;36;;Il Faro dei Caduti della Montagna è l'unico faro in montagna d'Italia da dove si gode l'incantevole panorama dell’appenninico circostante e rappresenta il simbolo di Gaggio Montano, un borgo incantevole situato nell'Appennino bolognese, vicino alla famosa Rocchetta Mattei.Il faro di Gaggio fu progettato dell'ingegnere Giuseppe Rinaldi ed edificato sul Sasso di Rocca, monumento dedicato ai caduti delle due guerre mondiali. Il grande Sasso di Rocca, il blocco ofio-litico su cui sorge, sovrasta il paese ed è visibile da ogni via di accesso: oltre tutto attorno si sviluppa il caratteristico centro storico del paese.;Appennino;;Piazze, vie, monumenti;;40041;Gaggio Montano;BO;< 70 km;;;;;;;;;;;;;44.19840516699963, 10.932705402374268
Parco della Vena del Gesso Romagnola;;44.23746;11.676052;54;;"Il Parco della Vena del Gesso Romagnola, parco regionale dal 2005 e Patrimonio Mondiale UNESCO dal 2023, è un complesso carsico che appare come una muraglia naturale ricca di grotte e cunicoli. Coi suoi 25 chilometri di lunghezza e due di larghezza che tagliano trasversalmente le tre vallate dei fiumi Santerno, Senio e Lamone, la Vena del Gesso Romagnola è la più grande catena di gesso selenitico d’Europa.Gesso trasparenteLa selenite è una varietà di gesso che si deposita sotto forma di scaglie traslucide e per questa sua caratteristica di trasparenza fu utilizzata sulle finestre in epoca antica (è recente la scoperta di cave romane per l’estrazione di Lapis Specularis proprio all'interno del parco). La selenite è anche conosciuta come “pietra di luna” per i suoi riflessi lunari quando la luce l’attraversa.PaesaggioIn versante meridionale della Vena del Gesso Romagnola appare come una muraglia quasi verticale di banchi di gesso alternati a strati più sottili di marne grigiastre; sui ripidi pendii a sud la vegetazione è di tipo mediterraneo mentre i versanti settentrionali sono caratterizzati da castagneti e da una spettacolare fioritura primaverile. La solubilità del gesso ha fatto sì che, col trascorrere dei millenni, l’acqua scavasse le grotte, le doline e i calanchi che caratterizzano il paesaggio di questo tratto dell’Appennino romagnolo.Sentieri a piedi e in mountain bike attraversano tutto il parco.";Area imolese;;Parchi e natura;2;48025;Riolo Terme;RA;< 70 km;;0546 77404;promozione@parchiromagna.it;;;;;;;;;;44.23746, 11.676052
Fondazione MAST;Via Speranza;44.505360966543094;11.295871069836435;55;;"La Fondazione MAST è un’istituzione internazionale, culturale e filantropica, basata sulla Tecnologia, l’Arte e l’Innovazione, nata a Bologna nel 2013. MAST intende intende favorire i
progetti che fanno leva su identità e creatività allo scopo di sviluppare nuove idee e di creare nuove connessioni. I soci fondatori di
Fondazione MAST sono Coesia, gruppo di aziende specializzate in soluzioni
industriali e packaging basato sull’innovazione, e Fondazione Isabella
Seràgnoli, organizzazione non profit privata e indipendente nata con lo scopo
di promuovere e valorizzare attività e progetti rivolti alla comunità in
particolare in ambito sanitario e socio-culturale. Fondazione MAST sorge
accanto alla sede di Coesia in un complesso multifunzionale con una superficie
di 25.000 mq destinato ai collaboratori dell’azienda, ma aperto anche alla
collettività in una continua sperimentazione di integrazione tra impresa e
comunità.
La Gallery ne è uno dei pilastri, con le due anime che la rappresentano: la Innovation Gallery, uno spazio che racconta l’industria e il lavoro con exhibit tecnologici interattivi e interventi di videoarte e la Photo Gallery, uno spazio espositivo che ospita mostre temporanee di fotografia dell’industria e del lavoro, con opere provenienti sia dalla collezione della
Fondazione, sia da prestiti museali o privati. Le mostre sono accompagnate da un programma di talk, incontri con autori e altre personalità del mondo della fotografia, proiezioni, performance, presentazioni editoriali che si svolgono in Auditorium.
Inoltre, la Fondazione MAST produce, organizza e promuove Foto/Industria, rassegna biennale di fotografia dell’industria e del lavoro, con esposizioni allestite, oltre che al MAST, anche nel centro di Bologna, in luoghi storici, istituzioni pubbliche e spazi privati della città.";Bologna;;Musei e Collezioni;42;40133;Bologna;BO;;;;press@fondazionemast.org;https://www.mast.org/;"Orari di apertura:martedì-domenica, ore 10–19; in occasione degli eventi serali, ore 10-22";;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;10:00 - 19:00;44.505360966543094, 11.295871069836435
Gelato Museum Carpigiani;Via Emilia;44.540866;11.209882;59;Gelato Museum Carpigiani, la prima realtà che racconta e approfondisce Storia, Cultura e Tecnologia del Gelato Artigianale, alimento fresco e di alta qualità che rappresenta l’eccellenza e la creatività italiana nel mondo!;Gelato Museum Carpigiani, ad Anzola dell’Emilia, è il primo museo che racconta e approfondisce Storia, Cultura e Tecnologia del Gelato Artigianale, alimento fresco e di alta qualità che rappresenta l’eccellenza e la creatività italiana nel mondo.Inaugurato nel 2012, il museo si sviluppa in un percorso interattivo su tre livelli di lettura: l’evoluzione del gelato nel tempo, la storia della tecnologia produttiva e dei luoghi, i modi di consumo del gelato. Il tutto attraverso un’esposizione di oltre 20 macchine originali, postazioni multimediali, 10.000 fotografie e documenti storici, preziosi strumenti e accessori d’epoca, inedite video-interviste, laboratori didattici.Accanto al museo, nel 2003 è nata anche la Carpigiani Gelato University, la prima scuola di gelateria in Italia e nel mondo. Un punto di riferimento per gelatieri, imprenditori, chef e pasticceri, una realtà solida e all’avanguardia per chi desidera apprendere o approfondire l’arte del gelato italiano.;Pianura;;Musei e Collezioni;45;40011;Anzola dell'Emilia;BO;< 20 km;;+39 051 6505306;booking@gelatomuseum.com;https://www.gelatomuseum.com/it;Aperto su prenotazione dal martedì al sabato dalle 9:00 alle 18:00.;;;;;;;;44.540866, 11.209882
Cascate del Dardagna;SP del Cavone;44.1369717;10.8125946;63;Spettacolari cascate costituite da ben 7 salti;"Per raggiungere il vero gioiello dell'Appennino bolognese, le spettacolari cascate costituite da ben 7 salti, bisogna avventurarsi lungo il fresco e sinuoso torrente Dardagna per un'emozionante passeggiata nel cuore della natura.Il silenzio della faggeta, infranto dal fragore delle acque, rende questo luogo adatto per scoprire i segreti del Parco del Corno alle Scale. Tra questi merita una sosta il santuario di Madonna dell'Acero che rappresenta un luogo magico oltre ad essere un ottimo punto di partenza per i numerosi sentieri del territorio.Questi sono, tra l'altro, terre ricche di storia e di antica memoria; furono infatti teatro delle battaglie sul fronte della Linea Verde, nel corso della Seconda Guerra Mondiale.";Appennino;;Parchi e natura;;40042;Lizzano in Belvedere;BO;< 90 km;;;;;;;;;;;;;44.1369717, 10.8125946
Palazzo Magnani Salem;Via Zamboni, 20 - 40126;44.495677;11.348727;697;Superbo palazzo eretto nell'antica Strà S. Donato che documenta l'affermazione sociale della famiglia Magnani presente a Bologna fin dal XIII secolo.;"Palazzo Magnani Salem documenta l’affermazione sociale della Famiglia Magnani il cui cognome rievoca l’originario professione di “magnano”, ovvero di fabbro. 
Il palazzo fu costruito verso la fine del Cinquecento su progetto di Domenico Tibaldi ed è impreziosito al suo interno dagli affreschi con le “Storie della fondazione di Roma” dei Carracci. 
Alcuni ambienti del pian terreno conservano la Collezione d’arte antica e moderna UniCredit Banca che annovera capolavori di artisti come Dosso Dossi a Marco Palmezzano, da Guercino a Giuseppe Maria Crespi, fino a Giorgio Morandi, Filippo De Pisis, Virgilio Guidi.";Bologna;Università;Torri, edifici storici;;;;BO;;;+390512962503;prenotazioni@quadreriapalazzomagnani.it;https://www.fondazionedelmonte.it/quadreria-di-palazzo-magnani/;Le opere della Quadreria di Palazzo Magnani sono visitabili ogni mercoledì e secondo sabato del mese su prenotazione entro le ore 13 del giorno precedente alla visita. Per poter prenotare una visita è possibile inviare una e-mail a prenotazioni@quadreriapalazzomagnani.it oppure telefonare al numero 051.2962504 dalle 9.00 alle 17.30 dal lunedì al venerdì. Comunicare eventuali disdette a prenotazioni@quadreriapalazzomagnani.it oppure telefonare al numero 051.2962504 entro le ore 17.00 del giorno precedente alla visita.;;;;;;;;44.495677, 11.348727
"Museo Nazionale del Soldatino ""Mario Massaccesi""";c/o Villa Aldrovandi Mazzacorati, Via Toscana 19, 40138;44.469305;11.371053;709;Fondato nel 1973 da Mario Massacesi, il museo è ospitato nella villa Aldrovandi Mazzacorati. E' costituito da circa 15.000 esemplari che coprono tutto l'arco di questo tipo di produzione (dall'inizio dell'Ottocento).;"I materiali sono dei più vari: carta, piombo, stagno, stucco, latta, pasta di legno, plastica, così come è varia la provenienza e il tipo di produzione (pezzi unici e in serie). Tra le curiosità si segnalano i soldatini in cartoncino dipinto, appartenuti a Giacomo Leopardi, i soldatini piatti di stagno ""di Norimberga"", modellini in pasta, gesso, plastica e gomma dura, dipinti a mano e i soldatini in piombo della metà del XIX sec. fino ai primi anni del XX sec. Inoltre collezioni tematiche (Carabinieri, la Legione Straniera) e ricostruzioni. Fra le rarità, soldatini in carta dell'esercito pontificio (1820), Hillpert di Norimberga (inizi '800), Pellerin d'Epinal (1870), Adam Schweitzer (1820), Lucotte (1900), G. Schneider (1903), Furth (1880-1910); inoltre stampi, attrezzatura da war-game, diorami, macchine da guerra di latta degli anni 1910-40.";Bologna;;Musei e Collezioni;;;;BO;;;+39 348 4718138;;http://museodelsoldatino.wordpress.com/;"MER 15:30 – 17:30VEN 15:30 – 17:30Possibilità di visite su appuntamento per gruppi di max 10 persone anche in altri orari. 
Si consiglia di telefonare sempre per conferma tel. +39 348 4718138.";;;;;;;;44.469305, 11.371053
Maurizio Nobile galleria;Via Santo Stefano 19/a, 40125;44.491873;11.348411;713;Galleria d'arte privata: arte antica, moderna e contemporanea;La galleria antiquaria di Maurizio Nobile con sede nella prestigiosa piazza Santo Stefano nel cuore del centro storico di Bologna concentra la sua attività sull’accurata selezione di dipinti, mobili e oggetti d’arte dal XVI al XX secolo. Maurizio Nobile da più di vent’anni si dedica con passione e professionalità alla ricerca di opere d’arte d’eccezione che sono spesso alla base della sua attività espositiva. La galleria ospita infatti prestigiose esposizioni periodiche, corredate da cataloghi scientifici, per la redazione dei quali Maurizio Nobile si avvale della collaborazione di importanti storici dell’arte. Ricco delle innumerevoli esperienze svolte nel corso di una carriera e da sempre guidato nelle scelte da uno spirito cosmopolita, l’apprezzato antiquario bolognese ha inoltre aperto nel 2010 una nuova sede a Parigi, trovando nella capitale francese il luogo a lui più congeniale per essere sempre più vicino alle esigenze di una clientela raffinata ed internazionale. La galleria è inoltre presente nelle più prestigiose mostre nazionali ed internazionali dell’antiquariato.;Bologna;;Gallerie d'Arte;;;;BO;;La galleria è ubicata al piano terra del Palazzo storico Bovi Tacconi.Per accedere alla seconda sala c’è un gradino mentre il secondo piano è accessibile solo tramite due rampe di scale.;+39 051 238363;bologna@maurizionobile.com;http://www.maurizionobile.com;"Ottobre-Maggio: da martedì al sabato 11.00-19.00; Giugno-Settembre: dal lunedì al venerdi 11.00-19.00, chiuso in Agosto.";;;;;;;;44.491873, 11.348411
